                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5764,                 4.6204,                 4.4577,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5857,                 4.1838,                 4.1586,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 3.4513,                 4.4446,                 4.4003,                0.00012,                0.02381,                  6e-05,                  1e-05,                 2.5843,                 4.1872,                 4.1577,             0.00012606,             0.00012606,             0.00012606
                      3,                 3.3384,                 4.2017,                 4.3083,                0.00012,                0.02381,                  6e-05,                  1e-05,                 2.5797,                 4.1878,                 4.1572,             0.00019214,             0.00019214,             0.00019214
                      4,                 3.2478,                 3.9244,                 4.2431,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5805,                  4.192,                 4.1569,             0.00025538,             0.00025538,             0.00025538
                      5,                 3.2175,                 3.6879,                 4.1999,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5836,                 4.1983,                 4.1583,              0.0003158,              0.0003158,              0.0003158
                      6,                  3.084,                 3.5007,                 4.1141,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5821,                 4.2013,                 4.1595,             0.00037338,             0.00037338,             0.00037338
                      7,                 3.0405,                 3.2963,                  4.014,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5815,                 4.2128,                 4.1614,             0.00042814,             0.00042814,             0.00042814
                      8,                 3.0421,                 3.3455,                 3.9275,                0.00011,                0.02381,                  6e-05,                  1e-05,                  2.578,                 4.2171,                 4.1635,             0.00048007,             0.00048007,             0.00048007
                      9,                 2.8323,                 2.7727,                  3.776,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5821,                 4.2242,                  4.169,             0.00052916,             0.00052916,             0.00052916
                     10,                  2.575,                 2.6744,                 3.5556,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5842,                 4.2281,                 4.1743,             0.00057543,             0.00057543,             0.00057543
                     11,                 2.6229,                 2.4742,                 3.5365,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5913,                 4.1983,                 4.1848,             0.00061887,             0.00061887,             0.00061887
                     12,                 2.5149,                 2.4499,                 3.4036,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5907,                 4.2088,                 4.1919,             0.00065948,             0.00065948,             0.00065948
                     13,                 2.4865,                 2.2788,                 3.2884,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5817,                 4.2581,                 4.1912,             0.00069726,             0.00069726,             0.00069726
                     14,                 2.1954,                 2.2163,                 3.1717,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5595,                 4.2515,                 4.1845,             0.00073221,             0.00073221,             0.00073221
                     15,                 2.3883,                 2.1187,                 3.0788,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5559,                 4.2596,                 4.1873,             0.00076433,             0.00076433,             0.00076433
                     16,                 2.2134,                 2.2035,                 2.9873,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5475,                 4.2688,                 4.1908,             0.00079362,             0.00079362,             0.00079362
                     17,                 2.2737,                 2.3584,                 3.0145,                0.00011,                0.02381,                  6e-05,                  1e-05,                 2.5162,                 4.2545,                 4.1729,             0.00082009,             0.00082009,             0.00082009
                     18,                 2.0639,                 2.2376,                 2.8228,                0.00011,                0.02381,                  6e-05,                  1e-05,                  2.489,                 4.2332,                 4.1499,             0.00084372,             0.00084372,             0.00084372
                     19,                 2.1596,                 2.0335,                 2.8068,                0.00011,                0.02381,                  6e-05,                  1e-05,                  2.454,                 4.2151,                 4.1225,             0.00086452,             0.00086452,             0.00086452
                     20,                 2.0313,                 1.8804,                 2.7634,                0.00022,                0.02381,                0.00012,                  5e-05,                 2.4121,                 4.0991,                 4.0114,              0.0008825,              0.0008825,              0.0008825
                     21,                 1.9903,                 1.8183,                 2.7302,                0.00088,                0.09524,                 0.0255,                 0.0077,                 2.4381,                 3.9542,                 3.8919,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.8551,                 1.7034,                 2.6052,                0.00395,                0.47937,                0.10795,                0.04363,                 2.4909,                  3.694,                 3.7362,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.9499,                  1.706,                 2.5721,                0.00734,                0.94444,                 0.2982,                0.14823,                 2.4017,                 3.2675,                 3.5527,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.7553,                 1.6043,                 2.5383,                0.97809,                0.22318,                0.68715,                0.34899,                 1.8844,                 2.6654,                 3.1143,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.7476,                 1.5203,                 2.4296,                0.90891,                0.28966,                0.75783,                0.34251,                  1.766,                 2.5435,                 2.9558,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.7553,                 1.6527,                 2.4927,                0.99775,                 0.2868,                0.86117,                0.41068,                 1.7287,                 2.6052,                 2.8972,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.7817,                 1.5213,                 2.4127,                0.81385,                0.39628,                0.78563,                0.39022,                 1.5779,                 2.4309,                 2.8071,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.6071,                 1.4976,                 2.3616,                0.77717,                0.88832,                0.92413,                0.55271,                  1.462,                 1.5153,                 2.5446,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.6037,                 1.3968,                 2.3041,                0.82496,                0.99915,                0.95846,                0.57271,                 1.4724,                  1.358,                 2.5143,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.4924,                 1.3509,                 2.1882,                0.85094,                0.82098,                0.93499,                0.59573,                 1.4026,                 1.3802,                 2.3675,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.5468,                 1.3066,                 2.2394,                0.94296,                0.81905,                0.92892,                0.59815,                   1.37,                 1.4698,                 2.2986,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.5559,                  1.422,                 2.3136,                0.94409,                0.90589,                  0.995,                0.64492,                 1.3344,                 1.4384,                 2.2881,             0.00055188,             0.00055188,             0.00055188
                     33,                  1.545,                 1.4512,                 2.2726,                0.89682,                0.94941,                  0.995,                0.69227,                 1.2152,                 1.3783,                 2.1857,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.3841,                 1.2743,                 2.0944,                0.96905,                0.94304,                0.98583,                0.73007,                 1.1907,                 1.3622,                 2.1745,             0.00049529,             0.00049529,             0.00049529
                     35,                  1.362,                 1.3085,                 2.0625,                0.89589,                0.98038,                0.98427,                0.71597,                 1.1708,                 1.2697,                 2.1605,               0.000467,               0.000467,               0.000467
                     36,                 1.3744,                 1.2555,                 2.0826,                0.92274,                0.90542,                0.97507,                0.64936,                 1.2471,                 1.5866,                 2.2903,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.2504,                  1.207,                 1.9998,                 0.9085,                0.89615,                 0.9778,                0.69761,                 1.2091,                  1.707,                 2.2573,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.2529,                 1.2246,                 2.0488,                0.89306,                0.79999,                 0.9809,                0.72736,                 1.0894,                 1.7877,                 2.1669,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.3796,                 1.2749,                 2.0452,                0.90131,                0.90179,                0.99033,                0.75194,                 1.0377,                 1.6363,                 2.0865,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.2906,                 1.2151,                 2.0294,                0.95828,                      1,                0.98078,                 0.7132,                 1.0497,                 1.1507,                 1.9696,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.1153,                 1.4089,                 2.0076,                0.94193,                      1,                0.97456,                0.70905,                 1.0415,                 1.0884,                 1.9241,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0632,                 1.3571,                 1.9167,                0.95877,                0.90752,                0.98722,                0.73058,                 1.0077,                 1.1155,                 1.8653,             0.00026894,             0.00026894,             0.00026894
                     43,                0.98631,                 1.2692,                 1.8082,                0.98527,                0.87536,                0.98425,                0.74539,                0.98608,                 1.2472,                 1.8555,             0.00024064,             0.00024064,             0.00024064
                     44,                0.93523,                 1.3016,                 1.7938,                 0.9197,                0.88498,                0.99083,                0.77214,                0.95832,                 1.3763,                 1.9109,             0.00021235,             0.00021235,             0.00021235
                     45,                0.94817,                 1.2192,                 1.7629,                0.90269,                0.89137,                  0.995,                0.76591,                0.98225,                 1.3372,                 1.9548,             0.00018406,             0.00018406,             0.00018406
                     46,                0.88441,                 1.1413,                  1.697,                0.92674,                0.88032,                  0.995,                0.75461,                 1.0198,                  1.353,                  1.989,             0.00015576,             0.00015576,             0.00015576
                     47,                0.94818,                 1.2154,                 1.7622,                0.93411,                0.87929,                 0.9569,                0.73841,                 1.0343,                 1.3659,                 1.9916,             0.00012747,             0.00012747,             0.00012747
                     48,                0.92101,                 1.1432,                  1.681,                0.93392,                0.88889,                0.88786,                0.72256,                0.98932,                 1.3134,                  1.947,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.96705,                 1.1991,                  1.767,                 0.9392,                0.88889,                0.92735,                0.74117,                0.95319,                 1.2565,                 1.9163,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.90394,                 1.1623,                 1.6958,                0.95539,                0.88889,                0.97222,                0.77548,                0.94045,                 1.1893,                 1.8894,             4.2584e-05,             4.2584e-05,             4.2584e-05
